algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
fges,andes,andes.xbif50003_,16,0,0,-1,230,-0.4196107600482327,-472501.6978542054,490.0,56.0,434.0,1,2.886
fges,andes,andes.xbif50003_,1,0,0,-1,230,-0.4196107600482327,-472501.6978542054,490.0,56.0,434.0,1,4.122
fges,andes,andes.xbif50003_,2,0,0,-1,230,-0.4196107600482327,-472501.6978542054,490.0,56.0,434.0,1,4.926
fges,andes,andes.xbif50003_,4,0,0,-1,230,-0.4196107600482327,-472501.6978542054,490.0,56.0,434.0,1,6.331
fges,andes,andes.xbif50003_,8,0,0,-1,230,-0.4196107600482327,-472501.6978542054,490.0,56.0,434.0,1,3.12
fges,andes,andes.xbif50004_,16,0,0,-1,232,-0.4201036934618242,-472991.52788958175,498.0,54.0,444.0,1,2.962
fges,andes,andes.xbif50004_,1,0,0,-1,232,-0.4201036934618242,-472991.52788958175,498.0,54.0,444.0,1,3.346
fges,andes,andes.xbif50004_,2,0,0,-1,232,-0.4201036934618242,-472991.52788958175,498.0,54.0,444.0,1,3.042
fges,andes,andes.xbif50004_,4,0,0,-1,232,-0.4201036934618242,-472991.52788958175,498.0,54.0,444.0,1,4.274
fges,andes,andes.xbif50004_,8,0,0,-1,232,-0.4201036934618242,-472991.52788958175,498.0,54.0,444.0,1,4.088
fges,andes,andes.xbif50005_,16,0,0,-1,240,-0.4203115696559565,-473903.9321558434,514.0,50.0,464.0,1,2.93
fges,andes,andes.xbif50005_,1,0,0,-1,240,-0.4203115696559565,-473903.9321558434,514.0,50.0,464.0,1,4.025
fges,andes,andes.xbif50005_,2,0,0,-1,240,-0.4203115696559565,-473903.9321558434,514.0,50.0,464.0,1,2.997
fges,andes,andes.xbif50005_,4,0,0,-1,240,-0.4203115696559565,-473903.9321558434,514.0,50.0,464.0,1,7.27
fges,andes,andes.xbif50005_,8,0,0,-1,240,-0.4203115696559565,-473903.9321558434,514.0,50.0,464.0,1,3.129
fges,andes,andes.xbif50006_,16,0,0,-1,234,-0.4204239650708887,-473487.9917336257,498.0,52.0,446.0,1,2.788
fges,andes,andes.xbif50006_,1,0,0,-1,234,-0.4204239650708887,-473487.9917336257,498.0,52.0,446.0,1,3.272
