network,algorithm,pges_threads,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,time(s),deltaBDeu,deltas,deltaSHD,deltaSHDemptySHD
link,Fges,1,1370.4545454545455,-0.24619511056902954,-286.18771081716346,2838.0,873.0909090909091,1964.909090909091,41.04545454545455,124.27116991676645,3.034484773181849,367.54545454545456,21.14760958259232
link,Fges-faithfulness,1,1083.7272727272727,-0.2057036679075677,-239.64009044015677,2269.4545454545455,902.3636363636364,1367.090909090909,199.07699999999997,170.8187902937732,0.8625947771381597,654.2727272727273,37.64515116644
link,GES,1,1032.3636363636363,-0.3165314476180599,-228.30564620190128,2114.7272727272725,824.5454545454545,1290.1818181818182,637.1666363636364,182.15323453202865,0.28599043575081146,705.6363636363636,40.60048122188513
link,pGES,2,952.8181818181819,-0.3097315034118506,-227.68653971522602,1950.1818181818182,647.2727272727273,1302.909090909091,273.0515454545455,182.7723410187039,0.6716761920617439,785.1818181818181,45.17731980332671
link,pGES,4,948.6363636363636,-0.3096272776376458,-227.4145309600938,1939.6363636363637,642.5454545454545,1297.090909090909,163.21072727272727,183.0443497738362,1.124822659499605,789.3636363636364,45.417930745893926
link,pGES,8,950.2727272727273,-0.309930117787999,-227.5414058823894,1942.3636363636363,640.5454545454545,1301.8181818181818,112.54145454545456,182.91747485154056,1.629767022879075,787.7272727272727,45.32377863793284
link,pGES,16,951.1818181818181,-0.31166665408037225,-227.40897925173968,1950.0,650.1818181818181,1299.8181818181818,116.65109090909091,183.04990148219028,1.5958630524349113,786.8181818181819,45.27147191128779
link,pGES-jc,2,952.3636363636364,-0.30665478405618557,-227.68427846861024,1949.090909090909,646.0,1303.090909090909,321.2841818181818,182.7746022653197,0.5805543101645189,785.6363636363636,45.20347316664923
link,pGES-jc,4,952.9090909090909,-0.3105531032755455,-227.68432578704224,1950.1818181818182,646.1818181818181,1304.0,243.35863636363638,182.77455494688772,0.7638478707678451,785.0909090909091,45.1720891306622
link,pGES-jc,8,952.8181818181819,-0.309210611777552,-227.68611557052117,1950.3636363636363,646.1818181818181,1304.1818181818182,162.77045454545453,182.77276516340882,1.1354058306869919,785.1818181818181,45.17731980332671
link,pGES-jc,16,953.3636363636364,-0.3102420337609861,-227.68471670122318,1951.090909090909,646.9090909090909,1304.1818181818182,152.29372727272727,182.77416403270678,1.2066385722356947,784.6363636363636,45.14593576733968
mildew,GES,1,41.27272727272727,-0.34909820732850544,-47.079005170605164,88.54545454545455,4.0,84.54545454545455,1.2287272727272727,15.346930073557768,12.512571051460828,38.72727272727273,48.40909090909091
mildew,pGES,2,42.72727272727273,-0.7634184031101232,-47.106114420891956,91.45454545454545,5.454545454545454,86.0,1.3903636363636365,15.31982082327097,11.18409549712605,37.27272727272727,46.59090909090909
mildew,pGES,4,44.18181818181818,-0.6416980110035735,-47.13443898708752,94.36363636363636,6.909090909090909,87.45454545454545,1.2635454545454545,15.291496257075401,12.259729357597642,35.81818181818182,44.77272727272727
