algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
pges-jc,andes,andes.xbif50003_,8,8,10,-1,192,-0.5430801340054634,-472061.6627663004,412.0,54.0,358.0,12,16.991
pges-jc,andes,andes.xbif50003_,8,8,15,-1,164,-0.544217526406483,-471231.3986373732,352.0,28.0,324.0,10,14.689
pges-jc,andes,andes.xbif50003_,8,8,5,-1,244,-0.5445544332323465,-473419.3000125824,520.0,128.0,392.0,19,21.299
pges-jc,andes,andes.xbif50004_,16,16,10,-1,171,-0.5466232923136146,-471773.80976834975,364.0,36.0,328.0,8,16.118
pges-jc,andes,andes.xbif50004_,16,16,15,-1,168,-0.5454131808641932,-471578.51233123045,358.0,32.0,326.0,6,13.246
pges-jc,andes,andes.xbif50004_,16,16,5,-1,186,-0.5449823554094892,-472378.7955444282,404.0,34.0,370.0,10,16.27
pges-jc,andes,andes.xbif50004_,2,2,10,-1,188,-0.5442805786476168,-471742.2416166373,400.0,52.0,348.0,20,41.718
pges-jc,andes,andes.xbif50004_,2,2,15,-1,177,-0.5449632786285582,-471948.02640016,380.0,40.0,340.0,14,39.69
pges-jc,andes,andes.xbif50004_,2,2,5,-1,245,-0.5465792215858499,-473931.07320911996,526.0,142.0,384.0,38,48.5
pges-jc,andes,andes.xbif50004_,4,4,10,-1,234,-0.544949707269674,-472580.63817480585,496.0,96.0,400.0,13,18.747
pges-jc,andes,andes.xbif50004_,4,4,15,-1,177,-0.5449595460553386,-471765.62269172614,384.0,44.0,340.0,10,19.568
pges-jc,andes,andes.xbif50004_,4,4,5,-1,207,-0.5449515501184193,-472360.551635826,440.0,70.0,370.0,24,27.403
pges-jc,andes,andes.xbif50004_,8,8,10,-1,177,-0.5464093063731267,-471985.09537848167,376.0,36.0,340.0,10,15.606
pges-jc,andes,andes.xbif50004_,8,8,15,-1,169,-0.5469870448865288,-472023.789272742,360.0,34.0,326.0,8,13.818
pges-jc,andes,andes.xbif50004_,8,8,5,-1,251,-0.5445662033716497,-474307.017138659,530.0,130.0,400.0,15,16.012
pges-jc,andes,andes.xbif50005_,16,16,10,-1,148,-0.5449691575756914,-471694.20316183264,318.0,12.0,306.0,7,14.536
pges-jc,andes,andes.xbif50005_,16,16,15,-1,146,-0.5469914882829707,-471876.73897516914,314.0,4.0,310.0,6,13.11
pges-jc,andes,andes.xbif50005_,16,16,5,-1,166,-0.5449678611353111,-472450.13000935817,358.0,32.0,326.0,11,18.949
pges-jc,andes,andes.xbif50005_,2,2,10,-1,173,-0.5449851005271161,-472482.77886725415,370.0,14.0,356.0,18,35.094
pges-jc,andes,andes.xbif50005_,2,2,15,-1,160,-0.5449802121331956,-471882.76719327323,342.0,20.0,322.0,15,36.801
pges-jc,andes,andes.xbif50005_,2,2,5,-1,225,-0.5466042831526239,-474040.053302973,480.0,90.0,390.0,38,44.359
pges-jc,andes,andes.xbif50005_,4,4,10,-1,179,-0.5455726271764129,-472769.6663867872,380.0,32.0,348.0,13,17.873
pges-jc,andes,andes.xbif50005_,4,4,15,-1,161,-0.5466417457657042,-471702.86942637264,346.0,18.0,328.0,9,15.394
