algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50008_,8,8,5,-1,7,-0.41778724836667946,-54251.488222740176,14.0,0.0,14.0,7,1.227
pges-jc,alarm,alarm.xbif50009_,16,16,10,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,6,1.298
pges-jc,alarm,alarm.xbif50009_,16,16,15,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,7,1.468
pges-jc,alarm,alarm.xbif50009_,16,16,5,-1,13,-0.41087621984118394,-54433.20509960546,30.0,12.0,18.0,7,1.381
pges-jc,alarm,alarm.xbif50009_,2,2,10,-1,8,-0.45462917570645106,-54374.117191946454,16.0,2.0,14.0,7,2.042
pges-jc,alarm,alarm.xbif50009_,2,2,15,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,6,1.986
pges-jc,alarm,alarm.xbif50009_,2,2,5,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,10,2.336
pges-jc,alarm,alarm.xbif50009_,4,4,10,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,7,1.584
pges-jc,alarm,alarm.xbif50009_,4,4,15,-1,9,-0.42092084903246507,-54449.1801970628,20.0,6.0,14.0,4,0.865
pges-jc,alarm,alarm.xbif50009_,4,4,5,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,9,1.733
pges-jc,alarm,alarm.xbif50009_,8,8,10,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,8,1.246
pges-jc,alarm,alarm.xbif50009_,8,8,15,-1,9,-0.4253171844134095,-54449.1801970628,20.0,6.0,14.0,4,1.778
pges-jc,alarm,alarm.xbif50009_,8,8,5,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,9,1.18
pges-jc,alarm,alarm.xbif_,16,16,10,-1,7,-0.39031636685394894,-54056.85777178162,14.0,0.0,14.0,5,1.218
pges-jc,alarm,alarm.xbif_,16,16,15,-1,9,-0.3771090342639871,-54147.7057067948,20.0,6.0,14.0,4,1.166
pges-jc,alarm,alarm.xbif_,16,16,5,-1,15,-0.4222780552394294,-54300.587185555116,34.0,16.0,18.0,7,1.358
pges-jc,alarm,alarm.xbif_,2,2,10,-1,8,-0.4202959586120084,-54097.53910933661,16.0,2.0,14.0,6,2.108
pges-jc,alarm,alarm.xbif_,2,2,15,-1,8,-0.4421831895926583,-54099.12936505862,16.0,2.0,14.0,5,1.976
pges-jc,alarm,alarm.xbif_,2,2,5,-1,8,-0.4202959586120084,-54097.53910933661,16.0,2.0,14.0,8,2.075
pges-jc,alarm,alarm.xbif_,4,4,10,-1,13,-0.4431107902119374,-54220.113120156755,28.0,8.0,20.0,5,1.273
pges-jc,alarm,alarm.xbif_,4,4,15,-1,13,-0.40843397370058526,-54170.54417494487,28.0,10.0,18.0,4,1.193
pges-jc,alarm,alarm.xbif_,4,4,5,-1,11,-0.4193028894608856,-54134.06547917025,22.0,6.0,16.0,7,1.685
pges-jc,alarm,alarm.xbif_,8,8,10,-1,10,-0.4277573486304565,-54094.77927305,22.0,6.0,16.0,6,1.014
pges-jc,alarm,alarm.xbif_,8,8,15,-1,13,-0.3815878293642681,-54170.54417494487,28.0,10.0,18.0,4,0.996
pges-jc,alarm,alarm.xbif_,8,8,5,-1,9,-0.41934484196725585,-54186.27522154944,20.0,6.0,14.0,7,1.087
pges-jc,andes,andes.xbif50001246_,16,16,10,-1,166,-0.5469911383331999,-471894.83475844515,358.0,10.0,348.0,8,10.585
pges-jc,andes,andes.xbif50001246_,16,16,15,-1,175,-0.545836038704078,-472033.2852244941,384.0,40.0,344.0,10,13.623
pges-jc,andes,andes.xbif50001246_,16,16,5,-1,182,-0.5452581617650761,-472307.5077913169,394.0,44.0,350.0,13,14.75
pges-jc,andes,andes.xbif50001246_,2,2,10,-1,179,-0.5449660010224583,-472128.6142609233,388.0,40.0,348.0,22,26.07
pges-jc,andes,andes.xbif50001246_,2,2,15,-1,164,-0.5449735618456978,-471735.7224220829,354.0,10.0,344.0,15,17.183
pges-jc,andes,andes.xbif50001246_,2,2,5,-1,326,-0.5467421242244619,-479902.1080383401,688.0,12.0,676.0,28,24.536
pges-jc,andes,andes.xbif50001246_,4,4,10,-1,166,-0.5449826632370625,-471797.23952427466,358.0,14.0,344.0,12,9.928
pges-jc,andes,andes.xbif50001246_,4,4,15,-1,164,-0.5449725696634805,-471700.1632516518,354.0,10.0,344.0,9,9.436
pges-jc,andes,andes.xbif50001246_,4,4,5,-1,167,-0.5449732857513969,-471826.8550628369,360.0,10.0,350.0,21,13.639
pges-jc,andes,andes.xbif50001246_,8,8,10,-1,169,-0.5449526880307073,-471879.9454818869,364.0,20.0,344.0,10,9.846
pges-jc,andes,andes.xbif50001246_,8,8,15,-1,193,-0.5464144472173033,-472743.477907715,416.0,20.0,396.0,9,9.402
pges-jc,andes,andes.xbif50001246_,8,8,5,-1,204,-0.5449574558457454,-472878.66441158595,442.0,56.0,386.0,18,14.76
pges-jc,andes,andes.xbif50001_,16,16,10,-1,156,-0.5455386650794348,-472288.3025931561,340.0,14.0,326.0,10,12.739
pges-jc,andes,andes.xbif50001_,16,16,15,-1,153,-0.5481707088170918,-472245.99397855735,332.0,6.0,326.0,11,14.287
pges-jc,andes,andes.xbif50001_,16,16,5,-1,162,-0.5458303918668206,-472663.7153272112,358.0,24.0,334.0,15,17.563
pges-jc,andes,andes.xbif50001_,2,2,10,-1,180,-0.547244022242577,-472965.205457392,392.0,14.0,378.0,19,23.177
pges-jc,andes,andes.xbif50001_,2,2,15,-1,162,-0.5466439179098792,-472318.98291656363,350.0,18.0,332.0,17,22.337
pges-jc,andes,andes.xbif50001_,2,2,5,-1,167,-0.5449876758839345,-472811.34246425086,360.0,16.0,344.0,37,28.113
pges-jc,andes,andes.xbif50001_,4,4,10,-1,156,-0.5424085996210632,-472240.01066047803,342.0,10.0,332.0,15,13.598
pges-jc,andes,andes.xbif50001_,4,4,15,-1,165,-0.5466200164084263,-472294.44936511834,360.0,24.0,336.0,10,11.584
pges-jc,andes,andes.xbif50001_,4,4,5,-1,170,-0.5466230478245332,-472655.3532220117,366.0,30.0,336.0,23,15.246
pges-jc,andes,andes.xbif50001_,8,8,10,-1,169,-0.5449764212857393,-472907.6345944212,368.0,26.0,342.0,13,11.675
pges-jc,andes,andes.xbif50001_,8,8,15,-1,154,-0.5455404345542257,-472173.5648727754,338.0,12.0,326.0,8,9.725
pges-jc,andes,andes.xbif50001_,8,8,5,-1,175,-0.5423980331331063,-472754.0012048767,376.0,32.0,344.0,16,12.952
pges-jc,andes,andes.xbif50002_,16,16,10,-1,136,-0.5463740988741498,-471859.67427772906,294.0,0.0,294.0,8,10.076
pges-jc,andes,andes.xbif50002_,16,16,15,-1,142,-0.5437424220168854,-472076.31769740005,310.0,16.0,294.0,7,9.56
pges-jc,andes,andes.xbif50002_,16,16,5,-1,159,-0.5449121772977686,-472660.9932260304,350.0,38.0,312.0,12,13.448
pges-jc,andes,andes.xbif50002_,2,2,10,-1,153,-0.5466858062873821,-472433.72283152776,338.0,30.0,308.0,22,25.389
pges-jc,andes,andes.xbif50002_,2,2,15,-1,148,-0.5422636359966962,-471917.65503379406,318.0,16.0,302.0,15,22.296
pges-jc,andes,andes.xbif50002_,2,2,5,-1,311,-0.5467103070976457,-478887.5575577045,654.0,12.0,642.0,29,25.041
pges-jc,andes,andes.xbif50002_,4,4,10,-1,147,-0.5453549418341356,-471977.2299402349,320.0,18.0,302.0,14,15.778
pges-jc,andes,andes.xbif50002_,4,4,15,-1,142,-0.5466259109320558,-471920.7054406642,306.0,6.0,300.0,10,11.445
pges-jc,andes,andes.xbif50002_,4,4,5,-1,156,-0.5471892411350882,-472161.7272065736,354.0,50.0,304.0,23,19.316
pges-jc,andes,andes.xbif50002_,8,8,10,-1,147,-0.5429984402817937,-472298.8828682465,320.0,26.0,294.0,10,9.307
pges-jc,andes,andes.xbif50002_,8,8,15,-1,142,-0.5469880279172099,-471847.09678790154,306.0,6.0,300.0,9,10.28
pges-jc,andes,andes.xbif50002_,8,8,5,-1,153,-0.54313375422867,-472251.79501786025,334.0,24.0,310.0,18,15.002
pges-jc,andes,andes.xbif50003_,16,16,10,-1,166,-0.5486566635306522,-471092.86555594794,356.0,20.0,336.0,8,9.94
pges-jc,andes,andes.xbif50003_,16,16,15,-1,161,-0.5424394963714624,-471027.74877955904,354.0,28.0,326.0,8,10.796
pges-jc,andes,andes.xbif50003_,16,16,5,-1,162,-0.5452670904887061,-471075.0677116204,348.0,18.0,330.0,12,13.489
pges-jc,andes,andes.xbif50003_,2,2,10,-1,186,-0.5462982397862707,-471424.3422255806,400.0,16.0,384.0,20,26.575
pges-jc,andes,andes.xbif50003_,2,2,15,-1,156,-0.5449714009765323,-470969.8162958279,336.0,10.0,326.0,16,26.348
pges-jc,andes,andes.xbif50003_,2,2,5,-1,312,-0.5467904219608152,-477747.9863196117,656.0,2.0,654.0,29,26.232
pges-jc,andes,andes.xbif50003_,4,4,10,-1,156,-0.5449865950581159,-470968.4774939284,338.0,12.0,326.0,14,16.521
pges-jc,andes,andes.xbif50003_,4,4,15,-1,209,-0.5450079801378239,-472411.8884917729,446.0,32.0,414.0,14,18.344
pges-jc,andes,andes.xbif50003_,4,4,5,-1,191,-0.5449414106977906,-472314.96695030545,414.0,58.0,356.0,27,16.963
pges-jc,andes,andes.xbif50003_,8,8,10,-1,174,-0.5449854170358777,-472009.99798657995,380.0,32.0,348.0,14,14.146
pges-jc,andes,andes.xbif50003_,8,8,15,-1,172,-0.5469946494202425,-471292.62648897234,368.0,34.0,334.0,10,9.909
pges-jc,andes,andes.xbif50003_,8,8,5,-1,169,-0.5424552196949811,-471235.0130887325,362.0,26.0,336.0,21,16.816
pges-jc,andes,andes.xbif50004_,16,16,10,-1,150,-0.545536653699236,-471009.2513971472,322.0,10.0,312.0,7,9.078
pges-jc,andes,andes.xbif50004_,16,16,15,-1,163,-0.5437257220602413,-471663.6453158135,354.0,42.0,312.0,8,10.728
pges-jc,andes,andes.xbif50004_,16,16,5,-1,158,-0.5458706804711472,-471760.78766783274,344.0,20.0,324.0,14,16.3
pges-jc,andes,andes.xbif50004_,2,2,10,-1,161,-0.5440920345732125,-471357.2370172486,344.0,20.0,324.0,24,28.153
pges-jc,andes,andes.xbif50004_,2,2,15,-1,150,-0.5449603408941455,-471044.35707132105,322.0,10.0,312.0,16,25.655
pges-jc,andes,andes.xbif50004_,2,2,5,-1,150,-0.5449576061760338,-471067.57878557296,322.0,10.0,312.0,38,31.325
pges-jc,andes,andes.xbif50004_,4,4,10,-1,158,-0.5449675530458226,-471057.2594205409,338.0,18.0,320.0,14,13.801
pges-jc,andes,andes.xbif50004_,4,4,15,-1,158,-0.5449689333115646,-471057.11418939807,338.0,18.0,320.0,12,13.858
pges-jc,andes,andes.xbif50004_,4,4,5,-1,162,-0.5449550554610679,-471134.6527603296,346.0,26.0,320.0,24,16.236
pges-jc,andes,andes.xbif50004_,8,8,10,-1,150,-0.5464016008571854,-471019.19409385195,322.0,10.0,312.0,10,10.219
pges-jc,andes,andes.xbif50004_,8,8,15,-1,158,-0.5469862914881841,-471886.495143424,344.0,24.0,320.0,8,8.278
pges-jc,andes,andes.xbif50004_,8,8,5,-1,164,-0.5454592859924855,-471314.13294309657,350.0,22.0,328.0,13,10.708
pges-jc,andes,andes.xbif50005_,16,16,10,-1,151,-0.5455581764048412,-471875.81316899153,324.0,18.0,306.0,8,10.561
pges-jc,andes,andes.xbif50005_,16,16,15,-1,153,-0.5469673330738366,-472035.7411784039,328.0,22.0,306.0,7,9.884
pges-jc,andes,andes.xbif50005_,16,16,5,-1,146,-0.5455411494985579,-471964.24288366846,316.0,16.0,300.0,14,16.077
pges-jc,andes,andes.xbif50005_,2,2,10,-1,149,-0.5449662612700403,-471717.1588130463,320.0,10.0,310.0,21,23.696
pges-jc,andes,andes.xbif50005_,2,2,15,-1,154,-0.5449545818796503,-471910.39142332936,334.0,28.0,306.0,15,22.421
pges-jc,andes,andes.xbif50005_,2,2,5,-1,154,-0.5477157604360513,-471987.4383168249,334.0,28.0,306.0,40,30.836
pges-jc,andes,andes.xbif50005_,4,4,10,-1,156,-0.5432782441203016,-472132.3792173777,334.0,34.0,300.0,15,12.704
