algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
pges,alarm,alarm.xbif50001246_,16,16,10,2,17,-0.43593410237141045,-54393.42038382117,40.0,18.0,22.0,100,7.762
pges,alarm,alarm.xbif50001246_,16,16,15,2,7,-0.4450165511508004,-54034.68310137827,14.0,0.0,14.0,100,7.297
pges,alarm,alarm.xbif50001246_,16,16,20,2,7,-0.44509640164530234,-54069.67391102062,14.0,0.0,14.0,3,1.395
pges,alarm,alarm.xbif50001246_,16,16,30,2,7,-0.44509640164530234,-54069.67391102062,14.0,0.0,14.0,3,1.453
pges,alarm,alarm.xbif50001246_,16,16,50,2,7,-0.44509640164530234,-54069.67391102062,14.0,0.0,14.0,3,1.625
pges,alarm,alarm.xbif50001246_,16,16,5,2,16,-0.4350220655027206,-54429.5495668228,42.0,26.0,16.0,5,1.577
pges,alarm,alarm.xbif50001246_,16,2,100,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.341
pges,alarm,alarm.xbif50001246_,16,2,10,2,7,-0.4171761897668557,-54069.67391102062,14.0,0.0,14.0,5,1.306
pges,alarm,alarm.xbif50001246_,16,2,15,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,4,1.487
pges,alarm,alarm.xbif50001246_,16,2,20,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,4,1.282
pges,alarm,alarm.xbif50001246_,16,2,30,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.4
pges,alarm,alarm.xbif50001246_,16,2,50,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.318
pges,alarm,alarm.xbif50001246_,16,2,5,2,7,-0.41714192163488073,-54069.67391102062,14.0,0.0,14.0,8,1.304
pges,alarm,alarm.xbif50001246_,16,4,100,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.358
pges,alarm,alarm.xbif50001246_,16,4,10,2,7,-0.4355249696079896,-54069.67391102062,14.0,0.0,14.0,5,1.39
pges,alarm,alarm.xbif50001246_,16,4,15,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,4,1.273
pges,alarm,alarm.xbif50001246_,16,4,20,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,4,1.165
pges,alarm,alarm.xbif50001246_,16,4,30,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.249
pges,alarm,alarm.xbif50001246_,16,4,50,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.365
pges,alarm,alarm.xbif50001246_,16,4,5,2,7,-0.41753067525093374,-54069.67391102062,14.0,0.0,14.0,7,1.332
pges,alarm,alarm.xbif50001246_,16,8,100,2,7,-0.44677638917935997,-54069.67391102063,14.0,0.0,14.0,100,5.596
pges,alarm,alarm.xbif50001246_,16,8,10,2,7,-0.41720746208848725,-54069.67391102062,14.0,0.0,14.0,5,1.299
pges,alarm,alarm.xbif50001246_,16,8,15,2,10,-0.4358460152130465,-54149.79312326178,22.0,6.0,16.0,100,7.281
pges,alarm,alarm.xbif50001246_,16,8,20,2,7,-0.41014020432013115,-54034.68310137827,14.0,0.0,14.0,100,5.001
pges,alarm,alarm.xbif50001246_,16,8,30,2,7,-0.44677638917935997,-54069.67391102063,14.0,0.0,14.0,100,5.186
pges,alarm,alarm.xbif50001246_,16,8,50,2,7,-0.44677638917935997,-54069.67391102063,14.0,0.0,14.0,100,5.301
pges,alarm,alarm.xbif50001246_,16,8,5,2,10,-0.4282828583324919,-54149.79312326178,22.0,6.0,16.0,100,5.224
pges,alarm,alarm.xbif50001246_,2,16,100,2,7,-0.44509640164530234,-54069.67391102062,14.0,0.0,14.0,3,1.373
pges,alarm,alarm.xbif50001246_,2,16,10,2,17,-0.43593410237141045,-54393.42038382117,40.0,18.0,22.0,100,18.891
pges,alarm,alarm.xbif50001246_,2,16,15,2,7,-0.4450165511508004,-54034.68310137827,14.0,0.0,14.0,100,17.761
pges,alarm,alarm.xbif50001246_,2,16,20,2,7,-0.44509640164530234,-54069.67391102062,14.0,0.0,14.0,3,2.967
pges,alarm,alarm.xbif50001246_,2,16,30,2,7,-0.44509640164530234,-54069.67391102062,14.0,0.0,14.0,3,2.484
pges,alarm,alarm.xbif50001246_,2,16,50,2,7,-0.44509640164530234,-54069.67391102062,14.0,0.0,14.0,3,3.193
pges,alarm,alarm.xbif50001246_,2,16,5,2,16,-0.4350220655027206,-54429.5495668228,42.0,26.0,16.0,5,3.043
pges,alarm,alarm.xbif50001246_,2,2,100,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.91
pges,alarm,alarm.xbif50001246_,2,2,10,2,7,-0.4171761897668557,-54069.67391102062,14.0,0.0,14.0,5,1.77
pges,alarm,alarm.xbif50001246_,2,2,15,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,4,1.784
pges,alarm,alarm.xbif50001246_,2,2,20,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,4,2.049
pges,alarm,alarm.xbif50001246_,2,2,30,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.17
pges,alarm,alarm.xbif50001246_,2,2,50,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,1.926
pges,alarm,alarm.xbif50001246_,2,2,5,2,7,-0.41714192163488073,-54069.67391102062,14.0,0.0,14.0,8,2.388
pges,alarm,alarm.xbif50001246_,2,4,100,2,7,-0.4180298048216045,-54069.67391102062,14.0,0.0,14.0,3,2.09
pges,alarm,alarm.xbif50001246_,2,4,10,2,7,-0.4355249696079896,-54069.67391102062,14.0,0.0,14.0,5,2.15
