algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
pges,alarm,alarm.xbif50001246_,8,16,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.172
pges,alarm,alarm.xbif50001246_,8,16,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,6,1.422
pges,alarm,alarm.xbif50001246_,8,2,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.306
pges,alarm,alarm.xbif50001246_,8,2,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,5,1.113
pges,alarm,alarm.xbif50001246_,8,2,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,0.999
pges,alarm,alarm.xbif50001246_,8,2,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,0.993
pges,alarm,alarm.xbif50001246_,8,2,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.32
pges,alarm,alarm.xbif50001246_,8,2,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.298
pges,alarm,alarm.xbif50001246_,8,2,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,7,1.05
pges,alarm,alarm.xbif50001246_,8,4,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.059
pges,alarm,alarm.xbif50001246_,8,4,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,0.885
pges,alarm,alarm.xbif50001246_,8,4,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.056
pges,alarm,alarm.xbif50001246_,8,4,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,0.941
pges,alarm,alarm.xbif50001246_,8,4,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.158
pges,alarm,alarm.xbif50001246_,8,4,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.218
pges,alarm,alarm.xbif50001246_,8,4,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,5,1.044
pges,alarm,alarm.xbif50001246_,8,8,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.033
pges,alarm,alarm.xbif50001246_,8,8,10,2,16,0.0,-57350.425691448094,40.0,10.0,30.0,5,1.148
pges,alarm,alarm.xbif50001246_,8,8,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.082
pges,alarm,alarm.xbif50001246_,8,8,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.989
pges,alarm,alarm.xbif50001246_,8,8,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.408
pges,alarm,alarm.xbif50001246_,8,8,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.249
pges,alarm,alarm.xbif50001246_,8,8,5,2,14,0.0,-56995.55329149697,34.0,6.0,28.0,4,1.055
pges,alarm,alarm.xbif50001_,16,16,100,2,16,0.0,-56378.80405675923,42.0,10.0,32.0,2,1.316
pges,alarm,alarm.xbif50001_,16,16,10,2,16,0.0,-56378.80405675923,42.0,10.0,32.0,3,1.313
pges,alarm,alarm.xbif50001_,16,16,15,2,16,0.0,-56378.80405675923,42.0,10.0,32.0,3,1.505
pges,alarm,alarm.xbif50001_,16,16,20,2,16,0.0,-56378.80405675923,42.0,10.0,32.0,2,1.204
pges,alarm,alarm.xbif50001_,16,16,30,2,16,0.0,-56378.80405675923,42.0,10.0,32.0,2,1.201
